model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,104.85666528965069
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,104.4264458802841
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,102.0732831209898
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,102.11249012500059
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,101.57661655296869
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,100.45387203902149
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,103.2843840413261
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,103.6679066244204
MESSAGEix-Pakistan 1,LTS_nexus,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,102.94822245836271
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,16.81140474
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,16.13330762
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,16.49227065
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,16.4294126
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,16.224388917907998
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,16.58833312
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,15.86729144
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,15.67491858
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,15.69493791
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2030,2.261272445801959e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2035,2.7744469279023305e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2040,3.734807784349278e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2045,4.5243276792089595e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2050,4.6614905676028745e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2055,4.3965847986539166e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2060,3.1170356334815145e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2070,3.5221470553829314e-05
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,21.613939184074603
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,22.43062379
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,23.85780582
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,27.22821893
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,28.25606717
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,27.9490764
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,27.86765078
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,26.27752773
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,25.45406736
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,8.239706827225701
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,11.05389191
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,14.0320577
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,17.57216869
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,19.51162253
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,18.437976
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,15.53451054
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,12.52598225
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,11.66020664
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,3.188266376
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,3.738942205
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,4.398287113993501
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,5.267260184272399
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,5.705803399115299
