"scenario","model","node","time","tec","value"
"historical","gfdl-esm2m","IND_3","6","irrigation_sw_diversion",8.24612003609903
"historical","gfdl-esm2m","IND_3","7","irrigation_sw_diversion",5.49004682409755
"historical","gfdl-esm2m","IND_3","8","irrigation_sw_diversion",5.98801137898318
"historical","gfdl-esm2m","IND_3","9","irrigation_sw_diversion",5.99791885746722
"historical","gfdl-esm2m","IND_4","1","irrigation_sw_diversion",52.5053435370241
"historical","gfdl-esm2m","IND_4","10","irrigation_sw_diversion",39.1899398360517
"historical","gfdl-esm2m","IND_4","11","irrigation_sw_diversion",31.4718286914438
"historical","gfdl-esm2m","IND_4","12","irrigation_sw_diversion",26.8949390442212
"historical","gfdl-esm2m","IND_4","2","irrigation_sw_diversion",93.6392148044058
"historical","gfdl-esm2m","IND_4","3","irrigation_sw_diversion",145.54364741018
"historical","gfdl-esm2m","IND_4","4","irrigation_sw_diversion",142.607604769069
"historical","gfdl-esm2m","IND_4","5","irrigation_sw_diversion",109.829536234591
"historical","gfdl-esm2m","IND_4","6","irrigation_sw_diversion",94.987025913096
"historical","gfdl-esm2m","IND_4","7","irrigation_sw_diversion",70.5200320870782
"historical","gfdl-esm2m","IND_4","8","irrigation_sw_diversion",78.2218522280587
"historical","gfdl-esm2m","IND_4","9","irrigation_sw_diversion",69.1317997280567
"historical","gfdl-esm2m","IND_5","1","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","10","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","11","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","12","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","2","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","3","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","4","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","5","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","6","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","7","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","8","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_5","9","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","1","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","10","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","11","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","12","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","2","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","3","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","4","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","5","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","6","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","7","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","8","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_6","9","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_1","1","irrigation_sw_diversion",3.72659144369452
"historical","gfdl-esm2m","PAK_1","10","irrigation_sw_diversion",3.40305220560395
"historical","gfdl-esm2m","PAK_1","11","irrigation_sw_diversion",2.46045737268001
"historical","gfdl-esm2m","PAK_1","12","irrigation_sw_diversion",1.52614191515842
"historical","gfdl-esm2m","PAK_1","2","irrigation_sw_diversion",6.14624211183168
"historical","gfdl-esm2m","PAK_1","3","irrigation_sw_diversion",10.0778977262428
"historical","gfdl-esm2m","PAK_1","4","irrigation_sw_diversion",10.3802890264765
"historical","gfdl-esm2m","PAK_1","5","irrigation_sw_diversion",9.73360142391143
"historical","gfdl-esm2m","PAK_1","6","irrigation_sw_diversion",9.8049275478347
"historical","gfdl-esm2m","PAK_1","7","irrigation_sw_diversion",9.2138161325485
"historical","gfdl-esm2m","PAK_1","8","irrigation_sw_diversion",8.80261785586487
"historical","gfdl-esm2m","PAK_1","9","irrigation_sw_diversion",6.65244011009083
"historical","gfdl-esm2m","PAK_10","1","irrigation_sw_diversion",34.3004827372777
"historical","gfdl-esm2m","PAK_10","10","irrigation_sw_diversion",26.3175276823223
"historical","gfdl-esm2m","PAK_10","11","irrigation_sw_diversion",20.4891290885628
"historical","gfdl-esm2m","PAK_10","12","irrigation_sw_diversion",15.3745267686315
"historical","gfdl-esm2m","PAK_10","2","irrigation_sw_diversion",62.9566747323857
"historical","gfdl-esm2m","PAK_10","3","irrigation_sw_diversion",75.786547822085
"historical","gfdl-esm2m","PAK_10","4","irrigation_sw_diversion",67.3267929689194
"historical","gfdl-esm2m","PAK_10","5","irrigation_sw_diversion",57.2470522775218
"historical","gfdl-esm2m","PAK_10","6","irrigation_sw_diversion",63.6433577416927
"historical","gfdl-esm2m","PAK_10","7","irrigation_sw_diversion",77.6787670981787
"historical","gfdl-esm2m","PAK_10","8","irrigation_sw_diversion",78.9490160286785
"historical","gfdl-esm2m","PAK_10","9","irrigation_sw_diversion",55.5395607189036
"historical","gfdl-esm2m","PAK_11","1","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","10","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","11","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","12","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","2","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","3","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","4","irrigation_sw_diversion",0
"historical","gfdl-esm2m","PAK_11","5","irrigation_sw_diversion",0
